ISSN,期刊名称,综合评分,h-index,CiteScore,中科院分区,5年IF
0306-3674,BRITISH JOURNAL OF SPORTS MEDICINE,9.3,141,21.0,1区,14.50
2095-2546,Journal of Sport and Health Science,8.0,22,19.9,1区,9.20
0112-1642,SPORTS MEDICINE,8.9,159,19.1,1区,11.50
2199-1170,Sports Medicine-Open,8.1,0,7.7,2区,5.50
0190-6011,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,6.5,104,8.4,2区,6.30
0749-8063,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,7.6,144,9.6,2区,4.30
0860-021X,BIOLOGY OF SPORT,4.9,20,9.4,2区,4.10
0942-2056,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,6.6,109,8.4,2区,3.60
0091-6331,EXERCISE AND SPORT SCIENCES REVIEWS,7.4,87,9.6,2区,6.10
0363-5465,AMERICAN JOURNAL OF SPORTS MEDICINE,8.0,196,8.8,1区,5.40
1555-0265,International Journal of Sports Physiology and Performance,7.2,49,6.6,2区,3.70
1550-2783,Journal of the International Society of Sports Nutrition,7.1,37,8.9,2区,4.80
0195-9131,MEDICINE & SCIENCE IN SPORTS & EXERCISE,7.7,203,7.1,2区,5.20
1077-5552,EXERCISE IMMUNOLOGY REVIEW,7.3,49,7.5,4区,4.90
0905-7188,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,6.4,97,6.9,2区,4.10
0003-9993,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,6.9,169,6.3,2区,3.90
2211-2669,Performance Enhancement & Health,0.0,0,4.3,2区,-
1728-869X,Journal of Exercise Science & Fitness,4.8,17,5.7,3区,2.80
2473-3938,Science and Medicine in Football,6.9,0,7.9,2区,2.80
1440-2440,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,7.4,85,6.9,2区,3.50
8750-7587,Journal of Applied Physiology,6.7,211,6.0,2区,3.50
2398-9459,BMJ Open Sport & Exercise Medicine,4.0,0,6.0,3区,-
2059-7754,Journal of ISAKOS Joint Disorders & Orthopaedic Sports Medicine,3.9,0,3.5,3区,-
2159-676X,Qualitative Research in Sport Exercise and Health,8.1,0,16.0,2区,11.60
1746-1391,European Journal of Sport Science,6.4,41,6.9,3区,3.20
1064-8011,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,6.5,108,6.5,2区,3.00
1524-1602,STRENGTH AND CONDITIONING JOURNAL,5.0,32,5.0,4区,2.80
1058-2746,JOURNAL OF SHOULDER AND ELBOW SURGERY,6.5,123,6.5,2区,3.30
2075-4663,Sports,3.9,0,4.1,3区,-
1062-6050,Journal of Athletic Training,5.1,96,4.9,3区,3.60
1640-5544,Journal of Human Kinetics,5.0,26,4.4,3区,2.50
1303-2968,Journal of Sports Science and Medicine,5.0,50,4.9,3区,3.30
1934-1482,PM&R,5.2,52,4.4,4区,2.40
2052-1847,BMC Sports Science Medicine and Rehabilitation,4.8,0,4.0,3区,2.30
1439-6319,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,6.5,118,6.0,3区,3.00
1526-484X,INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,6.2,65,5.0,3区,4.40
1941-7381,Sports Health-A Multidisciplinary Approach,6.1,34,6.6,3区,3.70
2624-9367,Frontiers in Sports and Active Living,4.1,0,3.8,3区,-
0264-0414,JOURNAL OF SPORTS SCIENCES,6.4,117,5.3,3区,3.40
2325-9671,Orthopaedic Journal of Sports Medicine,6.0,0,4.5,3区,2.80
2411-5142,Journal of Functional Morphology and Kinesiology,3.3,0,3.7,3区,-
0894-9115,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,5.5,89,3.8,4区,2.40
0966-6362,GAIT & POSTURE,5.5,129,4.9,3区,2.70
1466-853X,Physical Therapy in Sport,5.1,39,4.8,3区,2.50
1050-6411,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,5.1,89,4.2,3区,2.40
